epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
119,25411.6,1.10731,0.78778,1.23509,0.76652,0.80716,0.83246,0.50107,1.40208,0.81002,1.43474,0.00685333,0.00685333,0.00685333
120,25516.4,1.09105,0.78166,1.2299,0.76165,0.81087,0.8315,0.49923,1.40223,0.81359,1.43321,0.00682667,0.00682667,0.00682667
121,25661.8,1.09708,0.79242,1.23522,0.75548,0.81087,0.82934,0.50095,1.39845,0.81571,1.42872,0.0068,0.0068,0.0068
122,25822.5,1.07938,0.77735,1.21805,0.75035,0.79669,0.82755,0.49917,1.40005,0.82086,1.43317,0.00677333,0.00677333,0.00677333
123,26008.9,1.09967,0.77784,1.23116,0.7593,0.80378,0.83166,0.49801,1.39654,0.823,1.4291,0.00674667,0.00674667,0.00674667
124,26253.7,1.08083,0.77614,1.22308,0.75983,0.80778,0.83376,0.50142,1.39193,0.82107,1.42836,0.00672,0.00672,0.00672
125,26473.2,1.08798,0.7787,1.23635,0.75957,0.82153,0.8371,0.50504,1.39451,0.81589,1.43022,0.00669333,0.00669333,0.00669333
126,26715.3,1.07583,0.77787,1.22745,0.76467,0.82506,0.83936,0.50792,1.39166,0.81886,1.43276,0.00666667,0.00666667,0.00666667
127,26962.6,1.08627,0.77973,1.23259,0.77089,0.8227,0.84029,0.50674,1.39329,0.82426,1.43439,0.00664,0.00664,0.00664
128,27206.8,1.08577,0.77473,1.2237,0.75986,0.81797,0.8356,0.50368,1.39497,0.82842,1.43661,0.00661333,0.00661333,0.00661333
129,27422,1.07612,0.77378,1.21896,0.75697,0.82979,0.82848,0.5013,1.39117,0.82765,1.4358,0.00658667,0.00658667,0.00658667
130,27682.3,1.05687,0.76726,1.21147,0.76251,0.80378,0.82739,0.49894,1.39121,0.82677,1.43531,0.00656,0.00656,0.00656
131,27917.3,1.0615,0.75918,1.21169,0.76804,0.80378,0.82841,0.49639,1.39058,0.82104,1.43756,0.00653333,0.00653333,0.00653333
132,28144.1,1.07043,0.7574,1.21189,0.74782,0.82033,0.8235,0.49499,1.39226,0.81782,1.43682,0.00650667,0.00650667,0.00650667
133,28328.5,1.05925,0.75111,1.20992,0.77813,0.79669,0.82519,0.49745,1.39281,0.81735,1.43719,0.00648,0.00648,0.00648
134,28585.7,1.06651,0.74837,1.20616,0.76933,0.80142,0.82968,0.49787,1.3935,0.82141,1.43796,0.00645333,0.00645333,0.00645333
135,28814,1.06478,0.76321,1.21817,0.77821,0.79669,0.8274,0.49769,1.39187,0.81552,1.43973,0.00642667,0.00642667,0.00642667
136,28968,1.06292,0.74845,1.20976,0.78045,0.79433,0.82886,0.49671,1.38613,0.80945,1.43769,0.0064,0.0064,0.0064
137,29393.2,1.04928,0.74966,1.2059,0.78181,0.80378,0.82673,0.49481,1.38617,0.80122,1.43714,0.00637333,0.00637333,0.00637333
138,29623.2,1.05786,0.74924,1.20533,0.78384,0.80378,0.82805,0.49419,1.38435,0.80107,1.43493,0.00634667,0.00634667,0.00634667
139,29805.7,1.07343,0.76037,1.21895,0.78013,0.80851,0.83041,0.49578,1.38421,0.79655,1.434,0.00632,0.00632,0.00632
140,30085.2,1.0548,0.74841,1.20473,0.76863,0.80893,0.82787,0.49791,1.38167,0.79509,1.43203,0.00629333,0.00629333,0.00629333
141,30378.8,1.04404,0.74464,1.19593,0.7744,0.81087,0.82683,0.49979,1.3831,0.79752,1.43301,0.00626667,0.00626667,0.00626667
142,30555.1,1.04949,0.74982,1.20102,0.77847,0.80581,0.82979,0.50229,1.38348,0.79653,1.43366,0.00624,0.00624,0.00624
143,30802.8,1.03452,0.7356,1.19354,0.7755,0.81662,0.83123,0.50193,1.3859,0.79725,1.43534,0.00621333,0.00621333,0.00621333
144,31056.1,1.0437,0.74254,1.19702,0.77339,0.81489,0.83066,0.50359,1.38642,0.79681,1.43668,0.00618667,0.00618667,0.00618667
145,31389.9,1.04923,0.74409,1.19953,0.77461,0.8227,0.83388,0.50454,1.38843,0.79538,1.439,0.00616,0.00616,0.00616
146,31631.9,1.03882,0.73075,1.19592,0.78158,0.81087,0.83206,0.50232,1.39434,0.7955,1.44544,0.00613333,0.00613333,0.00613333
147,31814.7,1.03544,0.73988,1.19037,0.78523,0.80382,0.8305,0.50267,1.39602,0.79976,1.44574,0.00610667,0.00610667,0.00610667
148,32057.5,1.04088,0.74801,1.19604,0.78871,0.80302,0.83093,0.50309,1.3961,0.79916,1.44511,0.00608,0.00608,0.00608
149,32235.9,1.03005,0.73613,1.19193,0.7896,0.80378,0.83086,0.50396,1.39426,0.79908,1.44525,0.00605333,0.00605333,0.00605333
150,32476.8,1.0316,0.7318,1.18661,0.78704,0.80615,0.83028,0.5036,1.39481,0.79524,1.44779,0.00602667,0.00602667,0.00602667
151,32651.7,1.02634,0.72349,1.19,0.78078,0.80831,0.82903,0.50491,1.3943,0.79386,1.44919,0.006,0.006,0.006
152,32907.1,1.02983,0.73064,1.19293,0.78155,0.81197,0.82787,0.50224,1.39361,0.79653,1.44734,0.00597333,0.00597333,0.00597333
153,33131.2,1.02548,0.72919,1.18334,0.78531,0.80378,0.82726,0.50286,1.39483,0.79656,1.44757,0.00594667,0.00594667,0.00594667
154,33378.5,1.02728,0.72556,1.18941,0.78306,0.81324,0.82745,0.50279,1.39758,0.79476,1.44902,0.00592,0.00592,0.00592
155,33616.3,1.02531,0.7252,1.18615,0.78585,0.81549,0.82776,0.50231,1.39659,0.7951,1.44892,0.00589333,0.00589333,0.00589333
156,33878.8,0.99904,0.71722,1.17404,0.78844,0.80177,0.82663,0.50201,1.39537,0.79594,1.44889,0.00586667,0.00586667,0.00586667
157,34087.9,1.01647,0.72002,1.18173,0.7839,0.80851,0.82595,0.4997,1.39588,0.79515,1.44923,0.00584,0.00584,0.00584
158,34360.9,1.00651,0.71657,1.18062,0.78475,0.81015,0.82504,0.49934,1.39576,0.79603,1.449,0.00581333,0.00581333,0.00581333
159,34574.9,1.01903,0.72492,1.18515,0.78786,0.80851,0.82632,0.50016,1.39443,0.7961,1.45001,0.00578667,0.00578667,0.00578667
160,34809.1,1.01143,0.70266,1.17714,0.78755,0.80378,0.82872,0.5037,1.39557,0.79463,1.45147,0.00576,0.00576,0.00576
161,35021.7,1.0163,0.71102,1.1799,0.78961,0.80378,0.83232,0.50334,1.39556,0.79431,1.45194,0.00573333,0.00573333,0.00573333
162,35258.7,1.00344,0.70785,1.17411,0.78893,0.80411,0.83247,0.5043,1.39681,0.79214,1.45411,0.00570667,0.00570667,0.00570667
163,35509.8,1.00165,0.7038,1.17378,0.79159,0.80814,0.83137,0.50388,1.39751,0.79031,1.45452,0.00568,0.00568,0.00568
164,35766.8,1.00446,0.7054,1.17929,0.7897,0.80786,0.83098,0.50204,1.39814,0.79072,1.45591,0.00565333,0.00565333,0.00565333
165,36006.3,0.99926,0.70864,1.17729,0.78719,0.80454,0.83114,0.5022,1.40067,0.79052,1.45824,0.00562667,0.00562667,0.00562667
166,36299.4,1.00059,0.70798,1.17124,0.78393,0.80624,0.83094,0.50377,1.39976,0.79145,1.45723,0.0056,0.0056,0.0056
167,36501.6,0.99458,0.70193,1.17176,0.779,0.80615,0.83071,0.50379,1.40205,0.79049,1.46039,0.00557333,0.00557333,0.00557333
168,36752.6,1.00004,0.7022,1.16268,0.77465,0.81087,0.83129,0.50252,1.40504,0.79053,1.46245,0.00554667,0.00554667,0.00554667
169,37015.5,0.9847,0.69854,1.16381,0.77735,0.80887,0.83212,0.50426,1.40806,0.79033,1.46418,0.00552,0.00552,0.00552
170,37305.8,0.99452,0.70088,1.16508,0.77435,0.81127,0.83141,0.50477,1.40947,0.79102,1.46503,0.00549333,0.00549333,0.00549333
171,37593.2,0.98539,0.69827,1.16265,0.77268,0.8156,0.83179,0.50502,1.41092,0.79019,1.46844,0.00546667,0.00546667,0.00546667
172,37891.7,0.98629,0.68993,1.16117,0.77215,0.8156,0.8326,0.50468,1.41108,0.7912,1.4675,0.00544,0.00544,0.00544
173,38188.5,0.9792,0.69267,1.15784,0.77199,0.8156,0.83243,0.50401,1.41089,0.79252,1.46923,0.00541333,0.00541333,0.00541333
174,38479.1,0.98977,0.69374,1.16349,0.77325,0.81425,0.83013,0.50338,1.4114,0.79294,1.46945,0.00538667,0.00538667,0.00538667
175,38749.8,0.97228,0.68165,1.15414,0.77138,0.81324,0.82943,0.50334,1.41125,0.79256,1.46989,0.00536,0.00536,0.00536
